LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 0.6
Lattice spacing in x,y,z = 1.2909944 1.2909944 1.2909944
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.64549722) to (25.819889 25.819889 0.64549722)
  4 by 2 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.64549722) to (25.819889 25.819889 0.64549722)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 40 40 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.049 | 3.049 | 3.049 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              2.9925         1.7955       
       500   2.7884286      0.34369107     0              3.1251486      5.5100672    
      1000   2.9091417      0.32888019     0              3.230749       5.3217187    
      1500   2.9154488      0.37965534     0              3.2878156      5.7715029    
      2000   2.8746937      0.40932076     0              3.2768277      6.130943     
      2500   2.8420257      0.39136135     0              3.226282       5.9989979    
      3000   2.8627902      0.29671364     0              3.1523468      5.0830737    
      3500   2.8804589      0.34339391     0              3.2166516      5.5396011    
      4000   2.8262208      0.24725747     0              3.0664128      4.8159287    
      4500   2.9309783      0.32317078     0              3.2468217      5.5607568    
      5000   2.963334       0.21602609     0              3.1719517      4.5977689    
      5500   2.9831002      0.29874172     0              3.2743841      5.384629     
      6000   3.1411005      0.2396138      0              3.3728616      4.9334147    
      6500   3.0646745      0.25466283     0              3.3116757      5.0915814    
      7000   3.0866605      0.28932352     0              3.3682673      5.0712983    
      7500   2.9283814      0.23406126     0              3.1551217      4.6249956    
      8000   2.9851083      0.23208612     0              3.2097317      4.583422     
      8500   2.865086       0.2483975      0              3.1063208      4.6507759    
      9000   2.9645604      0.30105159     0              3.2582006      5.3834511    
      9500   2.8958765      0.25188778     0              3.1405246      4.8325441    
     10000   2.9315678      0.31689141     0              3.2411302      5.3742534    
     10500   2.85021        0.35921161     0              3.2022961      5.9210329    
     11000   2.8407629      0.47827862     0              3.3119396      6.6994069    
     11500   3.2537961      0.26828606     0              3.5139476      5.1906906    
     12000   2.9386085      0.43629674     0              3.3675587      6.3455095    
     12500   3.1571712      0.27718728     0              3.4264655      5.1714923    
     13000   3.0483984      0.39153938     0              3.4323167      5.8874216    
     13500   3.0070021      0.33391917     0              3.3334037      5.4793143    
     14000   3.1000662      0.38028579     0              3.4726019      6.3840569    
     14500   3.0777503      0.30080872     0              3.3708646      5.3625904    
     15000   3.0372359      0.36722394     0              3.3968667      6.0296555    
     15500   2.9793776      0.35635337     0              3.3282826      5.3972958    
     16000   3.105697       0.31472717     0              3.4126599      5.361302     
     16500   3.3817801      0.36066004     0              3.7339857      6.002065     
     17000   3.2126434      0.36651864     0              3.5711304      6.301605     
     17500   3.0902453      0.26255145     0              3.3450711      5.0733864    
     18000   2.8189118      0.31990315     0              3.1317677      5.5407837    
     18500   2.8074186      0.29844084     0              3.0988409      5.1558739    
     19000   2.7673366      0.27725785     0              3.0376761      4.8727594    
     19500   3.0975882      0.22265532     0              3.3124995      4.652496     
     20000   3.1490076      0.2408837      0              3.3820188      4.8668451    
     20500   3.1244363      0.33433522     0              3.4509604      5.6724069    
     21000   3.4172821      0.32075981     0              3.7294988      5.8043794    
     21500   3.1446526      0.42952187     0              3.5663129      6.4542051    
     22000   3.0775027      0.24503713     0              3.314846       4.9488655    
     22500   3.107653       0.34995591     0              3.4498398      5.7941589    
     23000   3.1931542      0.34600522     0              3.5311765      5.7251555    
     23500   3.3556565      0.37127045     0              3.7185378      6.3268727    
     24000   3.1186635      0.32668834     0              3.4375552      5.6657617    
     24500   3.1008942      0.20820071     0              3.3013426      4.6866304    
     25000   2.9240011      0.35614137     0              3.2728325      5.4694866    
     25500   2.7526378      0.35872255     0              3.1044788      5.5519481    
     26000   2.9397247      0.25442823     0              3.1868036      4.8380228    
     26500   2.7686766      0.32308449     0              3.0848394      5.2109477    
     27000   2.9191967      0.28876408     0              3.2006628      5.2102394    
     27500   2.8234025      0.31557678     0              3.1319208      5.2283242    
     28000   3.1172926      0.23209577     0              3.3415951      4.8014305    
     28500   3.0996637      0.40806577     0              3.4999803      6.2854951    
     29000   3.2596734      0.23785846     0              3.4893826      4.8350612    
     29500   3.0268545      0.37454713     0              3.3938345      6.0559589    
     30000   3.0807753      0.27323978     0              3.3463132      5.1290367    
     30500   3.1980579      0.30524947     0              3.4953122      5.4304393    
     31000   3.0592354      0.28329989     0              3.3348872      5.2331671    
     31500   3.1210904      0.30235519     0              3.4156428      5.2993019    
     32000   3.0774095      0.32159437     0              3.3913103      5.7277682    
     32500   3.1032235      0.45215232     0              3.5476177      6.4223077    
     33000   2.9574602      0.32476204     0              3.2748286      5.5222544    
     33500   2.9243706      0.33782799     0              3.2548876      5.5313942    
     34000   2.9781383      0.24226922     0              3.2129622      4.7540577    
     34500   3.0230158      0.27611889     0              3.2915771      4.9745147    
     35000   2.8772795      0.2864689      0              3.1565552      5.0528079    
     35500   2.9256227      0.36739867     0              3.2857073      5.7363081    
     36000   2.8797082      0.35648801     0              3.2289969      5.5953286    
     36500   2.8111998      0.2703043      0              3.0744761      4.8505452    
     37000   2.6251339      0.23808137     0              2.8566524      4.4869877    
     37500   2.9090365      0.24793408     0              3.149698       4.8456711    
     38000   2.9070127      0.33557239     0              3.2353175      5.5480497    
     38500   2.9532894      0.31873617     0              3.2646424      5.2545118    
     39000   2.8128972      0.29283971     0              3.0987047      5.1413739    
     39500   2.9132542      0.37688584     0              3.2828569      5.8577344    
     40000   2.8673703      0.28253192     0              3.1427338      5.1993224    
     40500   2.9839497      0.30814706     0              3.2846369      5.4015176    
     41000   3.1644402      0.26179185     0              3.418321       5.1002286    
     41500   3.316199       0.44883805     0              3.7567466      6.8535218    
     42000   3.2345462      0.32431448     0              3.5507743      5.5349323    
     42500   3.1048666      0.26441744     0              3.3615219      4.9189659    
     43000   2.9181854      0.38849235     0              3.2993823      6.101733     
     43500   3.0423305      0.26782183     0              3.3025465      5.1185022    
     44000   2.9521071      0.30686323     0              3.25159        5.2912699    
     44500   2.9465608      0.31860034     0              3.2577947      5.3703192    
     45000   2.8153035      0.20976271     0              3.018028       4.3883685    
     45500   2.7671017      0.27343433     0              3.0336183      4.8016586    
     46000   2.847026       0.32416861     0              3.164077       5.1746572    
     46500   2.911203       0.29648997     0              3.2004149      5.2172029    
     47000   2.9027392      0.22434658     0              3.119829       4.5502633    
     47500   2.820789       0.25818405     0              3.0719211      4.807014     
     48000   3.1410105      0.38653846     0              3.5196964      6.3185155    
     48500   3.1383592      0.32070874     0              3.451222       5.6430052    
     49000   3.1789633      0.30057016     0              3.4715861      5.5376776    
     49500   3.0072238      0.37945125     0              3.3791569      6.200393     
