LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 0.9
Lattice spacing in x,y,z = 1.6441414 1.6441414 1.6441414
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  2 by 2 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.077 | 3.077 | 3.077 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      2.6986816    
       500   3.1130741      1.3457556      0              6.0130867      17.9947      
      1000   3.0763387      1.3243637      0              5.9366186      17.644128    
      1500   3.0642188      1.3221188      0              5.9162027      17.595009    
      2000   3.0211639      1.4000007      0              5.9295338      18.231274    
      2500   3.0035129      1.3256519      0              5.8287214      17.642675    
      3000   2.9593875      1.2380289      0              5.6749426      17.064705    
      3500   2.9983649      1.3337323      0              5.8290835      17.764904    
      4000   3.0087618      1.3267309      0              5.83767        17.672551    
      4500   2.9203273      1.3361753      0              5.7145273      17.777126    
      5000   2.9705095      1.3090394      0              5.7626279      17.507954    
      5500   2.9803098      1.2953586      0              5.7636405      17.416399    
      6000   2.9963747      1.406807       0              5.8991744      18.445842    
      6500   3.0185605      1.3420918      0              5.8677217      17.972538    
      7000   3.0620757      1.3676092      0              5.95848        18.007291    
      7500   3.0502094      1.2899725      0              5.8630525      17.424096    
      8000   3.0976386      1.4239554      0              6.0681444      18.525731    
      8500   3.0382567      1.3829745      0              5.9381343      17.987284    
      9000   3.0484312      1.4294999      0              5.9999139      18.479977    
      9500   3.0737664      1.3856463      0              5.9940447      18.099073    
     10000   3.0372674      1.3175303      0              5.8712069      17.703078    
     10500   2.9630725      1.2871367      0              5.7295752      17.25603     
     11000   2.896968       1.3839162      0              5.7272464      17.919863    
     11500   2.9180767      1.4228466      0              5.7978243      18.314335    
     12000   2.9902258      1.3907772      0              5.8739259      18.31832     
     12500   3.0185581      1.3993831      0              5.9250093      18.282811    
     13000   3.063686       1.3526615      0              5.9459465      18.036092    
     13500   3.0242542      1.3619901      0              5.8961564      18.179153    
     14000   2.9479386      1.3780733      0              5.7978221      17.779606    
     14500   2.9377301      1.3534672      0              5.7579106      17.743665    
     15000   2.9553986      1.2466537      0              5.677587       17.070821    
     15500   2.9799535      1.3126285      0              5.7803761      17.386039    
     16000   3.0033635      1.318089       0              5.8209345      17.510608    
     16500   3.0166873      1.3905191      0              5.9133406      18.081459    
     17000   2.9620152      1.3762568      0              5.8171101      17.977555    
     17500   3.0047108      1.3705652      0              5.8754308      18.136123    
     18000   2.9395052      1.3277632      0              5.7348681      17.460389    
     18500   3.0047209      1.3155076      0              5.8203882      17.433121    
     19000   3.0776944      1.3173638      0              5.9316512      17.515703    
     19500   3.0418837      1.3652881      0              5.9258857      18.059099    
     20000   3.0049259      1.3674057      0              5.8725937      18.051781    
     20500   3.0306975      1.310807       0              5.8546336      17.393465    
     21000   2.9174861      1.3197538      0              5.6938461      17.562982    
     21500   3.0184729      1.2655819      0              5.7910805      17.156901    
     22000   2.974194       1.2691244      0              5.728237       17.184029    
     22500   3.0254548      1.2621993      0              5.7981655      17.035987    
     23000   2.9816407      1.3162194      0              5.7864966      17.517238    
     23500   2.9978879      1.3125333      0              5.8071694      17.329651    
     24000   3.0125902      1.3136848      0              5.8303636      17.58006     
     24500   2.9787525      1.3330786      0              5.7990257      17.760443    
     25000   2.9986786      1.3768415      0              5.8726631      18.177805    
     25500   3.0351295      1.3682859      0              5.9187572      18.116935    
     26000   3.0900043      1.3299986      0              5.962742       17.675217    
     26500   3.0169154      1.3599532      0              5.8831167      17.812784    
     27000   3.1812387      1.3409107      0              6.1104388      17.680932    
     27500   3.0298174      1.3940988      0              5.9366058      18.133625    
     28000   3.0832748      1.3375478      0              5.9602018      17.821854    
     28500   3.0132788      1.3776103      0              5.8953216      18.148533    
     29000   2.9695856      1.3329147      0              5.7851182      17.685599    
     29500   2.9410514      1.3534609      0              5.762884       17.971501    
     30000   2.912339       1.3193845      0              5.6857599      17.584728    
     30500   2.9710212      1.2352407      0              5.6895964      17.006422    
     31000   2.8802495      1.4438069      0              5.7620716      18.472326    
